org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
Web2Objects LLC,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[62874],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Ismael Munoz Hernandez,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[197606],['ES'],['None'],['None']
Noah van der Aa,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[197919],['NL'],['None'],['None']
Jikai Ren,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[206843],['CN'],"['Media, Publishing, and Broadcasting']",['Online Informational Content']
"Mach Dilemma, LLC",2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[40138],['US'],['Other'],['None']
"Alibaba (US) Technology Co., Ltd.",2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[37963],['US'],['Computer and Information Technology'],['None']
Megacore Technology Company Limited,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[140810],['VN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
CORK INTERNET EXCHANGE LIMITED,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[47720],['IE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
relaxt Webdienstleistungsagentur GmbH,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[205989],['AT'],['Service'],['Other']
TOHU Public Internet,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[140731],['CN'],['Education and Research'],['None']
24 SHELLS,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[55081],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"CacheNetworks, Inc.",1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[30081],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
ANS ACADEMY LIMITED,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[61323],['GB'],['Computer and Information Technology'],['None']
Zenex 5ive Limited,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[209181],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Astute Internet,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[63213],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
TEFINCOM S.A.,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[141039],['PA'],['Computer and Information Technology'],['None']
Xiufeng Guo,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[210937],['DE'],['Computer and Information Technology'],['Software Development']
UPSTREAM NETWORK LTD,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[202888],['GB'],['None'],['None']
Alex Liu,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[206368],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Artfiles LLC,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[394923],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
AltusHost B.V.,1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[51430],['NL'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Anthropic, PBC",1,4560,0.000219,1.5e-05,1405.7533729076385,0.0,[399358],['US'],['None'],['None']
