org_name,as_x,alias_prefix_num,alias_prefix_64_num,as_y,alias_prefix_ratio,alias_prefix_64_ratio
Manir LLC,181167.0,3,12884901888,[60389],0.00048254785266205565,0.0008163444744359277
Material Global Limited,253859.0,2,131072,"[50224, 203635]",0.00032169856844137045,8.304285425170164e-09
Megacore Technology Company Limited,281620.0,2,131072,[140810],0.00032169856844137045,8.304285425170164e-09
Mehmet Ali Kilic,208022.0,1,4294967296,[208022],0.00016084928422068523,0.00027211482481197594
Mehmet Uzunca,203377.0,1,65536,[203377],0.00016084928422068523,4.152142712585082e-09
Mejiro Network Limited,209642.0,1,1048576,[209642],0.00016084928422068523,6.643428340136131e-08
Meric Internet Teknolojileri A.S.,209737.0,1,34359738368,[209737],0.00016084928422068523,0.0021769185984958075
Miku Network Technology Limited,2329349.0,11,17432576,[211759],0.0017693421264275374,1.1044699615476317e-06
"Misaka Network, Inc.",400552.0,8,524288,[50069],0.0012867942737654818,3.3217141700680657e-08
Modesco LLC,56434.0,1,4294967296,[56434],0.00016084928422068523,0.00027211482481197594
NASA Ames Research Center,21556.0,1,65536,[21556],0.00016084928422068523,4.152142712585082e-09
NETBUDUR TELEKOMUNIKASYON LIMITED SIRKETI,1620040.0,8,34359738368,[202505],0.0012867942737654818,0.0021769185984958075
NETLABS LLC,2378981.0,11,377957122048,[216271],0.0017693421264275374,0.023946104583453882
NEW RELIC INTERNATIONAL LIMITED,206998.0,1,65536,[206998],0.00016084928422068523,4.152142712585082e-09
NForce Entertainment B.V.,43350.0,1,34359738368,[43350],0.00016084928422068523,0.0021769185984958075
NTX Technologies s.r.o.,100226.0,2,4295032832,[50113],0.00032169856844137045,0.0002721189769546885
Nazwa.pl Sp.z.o.o.,15967.0,1,65536,[15967],0.00016084928422068523,4.152142712585082e-09
Nearoute Limited,207388.0,4,3211264,[51847],0.0006433971368827409,2.03454992916669e-07
NeocomISP Limited,29706.0,3,196608,[9902],0.00048254785266205565,1.2456428137755245e-08
NetAssist LLC,35088.0,4,68721573888,[8772],0.0006433971368827409,0.004353970065558418
Netassist Limited,59022.0,2,68719476736,"[29632, 29390]",0.00032169856844137045,0.004353837196991615
Netex Limited,311022.0,6,25769803776,[51837],0.0009650957053241113,0.0016326889488718554
Netrunner Inc,6369.0,1,65536,[6369],0.00016084928422068523,4.152142712585082e-09
Netversor GmbH,200081.0,1,4294967296,[200081],0.00016084928422068523,0.00027211482481197594
New Relic,23467.0,1,65536,[23467],0.00016084928422068523,4.152142712585082e-09
Nexavo Ltd.,14490.0,1,1048576,[14490],0.00016084928422068523,6.643428340136131e-08
Nikola Garafolic,409386.0,2,3145728,[204693],0.00032169856844137045,1.993028502040839e-07
Noah van der Aa,791676.0,4,655360,[197919],0.0006433971368827409,4.152142712585082e-08
Noyan Abr Arvan Co. ( Private Joint Stock),205585.0,1,65536,[205585],0.00016084928422068523,4.152142712585082e-09
"OOO ""Network of data-centers ""Selectel""",1343315.0,27,219043332096,"[49505, 50340]",0.004342930673958501,0.013877856065410771
Okay-Telecom Ltd.,599007.0,3,12884901888,[199669],0.00048254785266205565,0.0008163444744359277
Optimizely AB,30811.0,1,65536,[30811],0.00016084928422068523,4.152142712585082e-09
Overkill Consulting ApS,198186.0,1,65536,[198186],0.00016084928422068523,4.152142712585082e-09
Overweb Srl,85384.0,2,8589934592,[42692],0.00032169856844137045,0.0005442296496239519
Owl Limited,43357.0,1,65536,[43357],0.00016084928422068523,4.152142712585082e-09
